Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
La magia del sur,4444,27.99,13,2.15,4.62,11,Medio,23.96,13,55,1.84,4.23,13,Medio,14.418604651162784,8.441558441558435,-18.181818181818183,0.30999999999999983,0.3899999999999997,-2
Luuuu,max,27.01,12,2.25,5.0,4,Bajo,27.52,6,57,4.59,9.5,5,Medio,-104.0,-90.0,-25.0,-2.34,-4.5,-1
0FF THE GRID,LAS,28.22,12,2.35,5.0,6,Medio,24.9,10,54,2.49,5.4,6,Medio,-5.957446808510643,-8.000000000000007,0.0,-0.14000000000000012,-0.40000000000000036,0
kaybroak,MVP,28.2,8,3.52,7.5,3,Medio,26.43,8,57,3.3,7.12,3,Medio,6.250000000000005,5.0666666666666655,0.0,0.2200000000000002,0.3799999999999999,0
KasFesp,LAS,28.05,4,7.01,15.0,4,Alto,28.46,4,58,7.12,14.5,4,Alto,-1.569186875891588,3.3333333333333335,0.0,-0.11000000000000032,0.5,0
Salteño Promedio,ups,28.42,20,1.42,3.0,12,Bajo,26.7,18,56,1.48,3.11,13,Bajo,-4.2253521126760605,-3.6666666666666625,-8.333333333333332,-0.06000000000000005,-0.10999999999999988,-1
zzz,trap,28.18,17,1.66,3.53,13,Bajo,25.28,17,55,1.49,3.24,11,Bajo,10.240963855421684,8.215297450424917,15.384615384615385,0.16999999999999993,0.2899999999999996,2
God ryze,LAS,29.72,13,2.29,4.62,9,Medio,26.58,12,54,2.21,4.5,10,Medio,3.493449781659392,2.5974025974025996,-11.11111111111111,0.08000000000000007,0.1200000000000001,-1
Ðiush,White,28.36,11,2.58,5.45,5,Bajo,27.46,12,57,2.29,4.75,10,Medio,11.24031007751938,12.84403669724771,-100.0,0.29000000000000004,0.7000000000000002,-5
LoanniZz,DEUS,31.47,11,2.86,5.45,8,Medio,29.32,11,57,2.67,5.18,8,Medio,6.6433566433566416,4.954128440366981,0.0,0.18999999999999995,0.27000000000000046,0
TTV Pikabam,001,29.51,13,2.27,4.62,6,Medio,24.22,11,54,2.2,4.91,8,Medio,3.0837004405286272,-6.277056277056278,-33.33333333333333,0.06999999999999984,-0.29000000000000004,-2
AvHPeaceMaker,LAS,28.18,7,4.03,8.57,7,Alto,25.4,6,59,4.23,9.83,6,Alto,-4.962779156327548,-14.702450408401397,14.285714285714285,-0.20000000000000018,-1.2599999999999998,1
PeelMe,Tom,29.63,9,3.29,6.67,4,Medio,29.63,9,60,3.29,6.67,4,Medio,0.0,0.0,0.0,0.0,0.0,0
Pmx,LAS,29.36,19,1.55,3.16,11,Bajo,29.73,20,60,1.49,3.0,10,Bajo,3.8709677419354875,5.06329113924051,9.090909090909092,0.06000000000000005,0.16000000000000014,1
El Garbanzo,LAS,30.32,19,1.6,3.16,6,Bajo,26.94,10,57,2.69,5.7,6,Medio,-68.12499999999999,-80.37974683544303,0.0,-1.0899999999999999,-2.54,0
Duki,7763,33.43,9,3.71,6.67,9,Medio,30.43,10,56,3.04,5.6,10,Medio,18.059299191374663,16.041979010494757,-11.11111111111111,0.6699999999999999,1.0700000000000003,-1
fedejuega,LAS,29.94,18,1.66,3.33,5,Bajo,29.19,17,59,1.72,3.47,5,Bajo,-3.6144578313253044,-4.204204204204208,0.0,-0.06000000000000005,-0.14000000000000012,0
iJoker,LAS,28.31,11,2.57,5.45,8,Medio,26.56,12,59,2.21,4.92,10,Medio,14.007782101167313,9.72477064220184,-25.0,0.3599999999999999,0.5300000000000002,-2
jzsoe,LAS,29.22,10,2.92,6.0,10,Medio,27.05,10,55,2.71,5.5,7,Medio,7.191780821917808,8.333333333333332,30.0,0.20999999999999996,0.5,3
Haewon,1998,29.36,6,4.89,10.0,6,Alto,24.91,6,54,4.15,9.0,6,Alto,15.132924335378311,10.0,0.0,0.7399999999999993,1.0,0
T1Nyuloi,Nashe,30.56,21,1.46,2.86,4,Bajo,30.13,21,59,1.43,2.81,4,Bajo,2.054794520547947,1.7482517482517421,0.0,0.030000000000000027,0.04999999999999982,0
iPloxSB,1476,26.43,8,3.3,7.5,7,Alto,27.9,9,57,3.1,6.33,5,Medio,6.0606060606060534,15.6,28.57142857142857,0.19999999999999973,1.17,2
Willimerca,6666,26.91,19,1.42,3.16,6,Bajo,25.59,19,58,1.35,3.05,6,Bajo,4.929577464788721,3.481012658227858,0.0,0.06999999999999984,0.11000000000000032,0
TotooR2,LAS,29.96,11,2.72,5.45,11,Medio,24.54,6,56,4.09,9.33,6,Alto,-50.367647058823515,-71.19266055045871,45.45454545454545,-1.3699999999999997,-3.88,5
JacquesLacan,1230,27.31,15,1.82,4.0,13,Bajo,27.83,18,58,1.55,3.22,11,Bajo,14.835164835164836,19.499999999999996,15.384615384615385,0.27,0.7799999999999998,2
RJAV,1998,29.3,13,2.25,4.62,7,Medio,29.41,12,60,2.45,5.0,7,Medio,-8.888888888888896,-8.225108225108222,0.0,-0.20000000000000018,-0.3799999999999999,0
Nestornadoxs,LAS,28.51,8,3.56,7.5,8,Alto,27.66,8,54,3.46,6.75,8,Medio,2.8089887640449462,10.0,0.0,0.10000000000000009,0.75,0
Reish99,2001,29.4,19,1.55,3.16,6,Bajo,28.83,18,59,1.6,3.28,6,Bajo,-3.2258064516129057,-3.797468354430369,0.0,-0.050000000000000044,-0.11999999999999966,0
MadLife,NCS,26.47,8,3.31,7.5,8,Alto,26.02,7,56,3.72,8.0,7,Alto,-12.386706948640487,-6.666666666666667,12.5,-0.41000000000000014,-0.5,1
LoGoZ,LAS,29.66,18,1.65,3.33,7,Bajo,27.01,15,56,1.8,3.73,6,Bajo,-9.090909090909099,-12.01201201201201,14.285714285714285,-0.15000000000000013,-0.3999999999999999,1
SkeeLetor,LAS,27.2,12,2.27,5.0,8,Medio,27.51,14,60,1.97,4.29,6,Medio,13.215859030837008,14.2,25.0,0.30000000000000004,0.71,2
Gekidou,512,28.6,14,2.04,4.29,9,Medio,26.18,13,54,2.01,4.15,7,Medio,1.4705882352941297,3.2634032634032555,22.22222222222222,0.03000000000000025,0.13999999999999968,2
regicida,LAS69,29.47,14,2.1,4.29,10,Medio,26.73,13,55,2.06,4.23,5,Bajo,1.9047619047619064,1.3986013986013894,50.0,0.040000000000000036,0.05999999999999961,5
Bling Bling,lowie,29.42,14,2.1,4.29,4,Bajo,27.15,10,54,2.71,5.4,3,Bajo,-29.04761904761904,-25.87412587412588,25.0,-0.6099999999999999,-1.1100000000000003,1
Asa Mitaka,Kelly,29.29,28,1.05,2.14,4,Bajo,25.12,24,54,1.05,2.25,5,Bajo,0.0,-5.140186915887844,-25.0,0.0,-0.10999999999999988,-1
Thom Merrilin,LAS,30.39,12,2.53,5.0,6,Medio,28.53,12,56,2.38,4.67,6,Medio,5.928853754940708,6.600000000000001,0.0,0.1499999999999999,0.33000000000000007,0
Thaizor,LAS,30.69,18,1.71,3.33,6,Bajo,29.17,17,55,1.72,3.24,6,Bajo,-0.5847953216374274,2.702702702702698,0.0,-0.010000000000000009,0.08999999999999986,0
Pingu,SEES,27.81,16,1.74,3.75,3,Bajo,24.92,13,54,1.92,4.15,3,Bajo,-10.344827586206893,-10.666666666666675,0.0,-0.17999999999999994,-0.40000000000000036,0
SinverGWENza,Gwen,29.43,17,1.73,3.53,5,Bajo,26.53,13,57,2.04,4.38,4,Bajo,-17.91907514450867,-24.079320113314452,20.0,-0.31000000000000005,-0.8500000000000001,1
222369,222,29.2,12,2.43,5.0,7,Medio,27.44,13,58,2.11,4.46,6,Medio,13.1687242798354,10.8,14.285714285714285,0.3200000000000003,0.54,1
