Usuario,Tag,HPD_pre,HPD_post,PRTPJ_HPD,NPPD_pre,NPPD_post,PRTPJ_NPPD,DCJ_pre,DCJ_post,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
SOS RE WACHINN,LAS,1.0,0.98,2.0000000000000018,2.07,2.07,0.0,10,6,40.0,0.020000000000000018,0.0,4
Kab,DUHR,2.42,2.25,7.0247933884297495,5.45,5.0,8.256880733944957,6,10,-66.66666666666666,0.16999999999999993,0.4500000000000002,-4
Labubu,1251,2.25,1.9,15.555555555555559,4.62,3.86,16.450216450216455,5,4,20.0,0.3500000000000001,0.7600000000000002,1
Hustlee Hard 304,304,1.93,2.12,-9.844559585492236,4.0,4.46,-11.5,3,4,-33.33333333333333,-0.19000000000000017,-0.45999999999999996,-1
BABOSA,lmao,1.3,1.27,2.3076923076923097,2.4,2.29,4.583333333333329,5,5,0.0,0.030000000000000027,0.10999999999999988,0
NoWitness,CBA,2.08,1.87,10.096153846153843,4.62,4.21,8.874458874458877,10,8,20.0,0.20999999999999996,0.41000000000000014,2
taitun,LAS,2.72,2.13,21.691176470588243,5.45,4.62,15.229357798165138,6,11,-83.33333333333334,0.5900000000000003,0.8300000000000001,-5
Creeping Derp,LAS,1.41,1.4,0.7092198581560291,2.73,2.67,2.1978021978021998,7,7,0.0,0.010000000000000009,0.06000000000000005,0
jordi el tulachi,LAS,2.31,2.42,-4.761904761904756,4.62,5.4,-16.883116883116887,6,10,-66.66666666666666,-0.10999999999999988,-0.7800000000000002,-4
Uri,Uri27,0.9,1.02,-13.333333333333334,1.88,2.08,-10.638297872340436,4,4,0.0,-0.12,-0.20000000000000018,0
Tutesc,EDLP,2.51,2.72,-8.36653386454185,5.0,5.45,-9.000000000000004,6,6,0.0,-0.2100000000000004,-0.4500000000000002,0
Juego con la 10,VAJ,2.05,1.77,13.658536585365846,4.29,3.75,12.587412587412588,5,5,0.0,0.2799999999999998,0.54,0
Patroler,111,2.22,2.66,-19.819819819819813,4.62,5.5,-19.047619047619044,11,6,45.45454545454545,-0.43999999999999995,-0.8799999999999999,5
Josedeoro,RECA,1.53,1.57,-2.6143790849673225,2.86,2.9,-1.3986013986014,8,8,0.0,-0.040000000000000036,-0.040000000000000036,0
chinoo,1200,2.37,2.52,-6.329113924050629,4.62,5.45,-17.965367965367967,10,5,50.0,-0.1499999999999999,-0.8300000000000001,5
maidenless,SAPEE,1.81,1.57,13.259668508287293,3.75,3.5,6.666666666666667,15,12,20.0,0.24,0.25,3
